Frame,FlowX,FlowY
1,-6.2351224e-05,-0.0025384522
2,-0.016711101,0.010185471
3,-0.017992344,-0.019958649
4,0.0022826958,-0.017136002
5,0.006620941,-0.034572527
6,0.005307636,-0.02349266
7,0.01798336,-0.018855209
8,0.0604167,-0.039282225
9,0.049772415,-0.0091187665
10,0.06207575,0.00034362794
11,0.1260316,0.005036545
12,0.15185812,0.008774033
13,0.11542341,0.009585342
14,0.07206152,-0.017360382
15,0.10058279,-0.020220794
16,0.10407881,0.007310638
17,0.06766344,0.026578292
18,-0.0017320252,0.018780632
19,-0.00019193649,0.012329635
20,0.01615263,-0.0123238
21,0.08724581,-0.006691685
22,0.10279857,0.027708588
23,0.06148485,0.03788559
24,0.038780898,0.020517884
25,-0.010691033,0.014569397
26,-0.09770849,0.006664734
27,-0.0045589637,0.016235963
28,-0.11932905,-0.006994858
29,-0.048990365,-0.0066604614
30,-0.13082442,-0.02362137
31,-0.0344141,0.010203933
32,-0.16550535,0.008084183
33,-0.024550114,0.018405227
34,-0.01733286,0.019902343
35,-0.030696658,0.01520752
36,-0.03756548,0.0033444213
37,-0.020133477,-0.0040003206
38,-0.042325955,-3.1814576e-05
39,-0.0060817148,0.00528389
40,0.003909569,-0.0006440735
41,0.0019366264,-0.0014987183
42,-0.009000816,-0.0028250886
43,0.017564163,0.009894409
44,0.022617092,0.030505752
45,0.027613163,0.051625825
46,0.009811916,-0.0026004028
47,0.040042285,-0.01957222
48,0.07691711,-0.0036399842
49,0.063457586,-0.010328293
50,0.07383642,0.01715912
51,0.08259575,0.021139909
52,0.034136925,0.062323075
53,0.025447998,0.067489624
54,0.019318046,0.034516755
55,-0.004607296,0.010112992
56,-0.1092803,-0.029184137
57,-0.074173585,-0.013952837
58,-0.030118447,-0.008567124
59,-0.008092422,0.0023899078
60,-0.01554161,0.012100525
61,0.02309805,-0.00033859254
62,0.035520174,0.00053451536
63,-0.00075099943,-0.02455429
64,0.013777809,-0.027024003
65,0.01795227,-0.015412522
66,0.012362118,-0.0025958251
67,0.021552105,-0.015770417
68,0.040952187,-0.010184632
69,0.04858141,0.0009854889
70,0.043474637,0.012011872
71,0.012949887,0.017494813
72,0.030254306,0.00733551
73,0.041698553,-0.0011228942
74,0.1082268,0.005030823
75,0.042126693,0.00080986024
76,0.009079647,0.0037709046
77,0.002504139,0.006462555
78,-0.006621666,-0.0016381836
79,-0.0083257295,-0.004701233
80,0.006151676,0.01697052
81,-0.008700142,0.026466217
82,-0.016615849,0.005225754
83,0.0074270437,-0.005908661
84,-0.010409661,-0.017427979
85,-0.06869701,-0.009364166
86,-0.015715199,0.020860367
87,-0.01769701,0.0034103394
88,-0.012149315,0.0061471555
89,0.00575037,0.014805069
90,0.012131996,0.018048324
91,0.027500324,0.017363511
92,0.017056752,0.0062856292
93,0.026663627,-0.0018978881
94,0.020361213,-0.020265045
95,0.085873984,0.0214682
96,0.08785593,0.05486725
97,0.022583503,0.0053874208
98,0.014970836,-0.0130121615
99,0.023532562,-0.031518936
100,0.008992405,-0.015637208
101,0.00955162,0.0042271423
102,0.011476135,0.0058601378
103,0.01700571,-0.0035500336
104,0.030826245,0.00875534
105,0.08819908,0.009102478
106,0.019525623,-0.0029180145
107,0.028467808,-0.012648697
108,0.025790272,-0.0015132905
109,0.034368075,-0.016302338
110,0.06934353,-0.0003073883
111,0.030568866,0.006155853
112,0.02596327,0.006498413
113,0.0343194,0.0020279693
114,0.06413639,-0.0075119017
115,0.02714754,-0.013619537
116,0.00077119825,-0.014506927
117,0.011121444,-0.0020976304
118,0.006682072,0.007357397
119,0.005426769,0.0042833854
120,0.055024337,-0.002016635
121,0.0074443435,0.006645136
122,0.015335331,0.0074398043
123,-0.008119297,-0.0069825742
124,0.0036854744,-0.0007008362
125,0.015966091,-0.00017456054
126,0.02884039,0.0006715393
127,0.00825985,0.012113571
128,0.015933838,0.0056822966
129,0.01047905,0.0037633514
130,0.0008082581,0.0013147449
131,0.000112609865,-0.0015818643
132,-0.033380758,-0.007652097
133,-0.050745487,0.011497039
134,-0.072984144,-0.001258545
135,-0.049435597,-0.006951828
136,-0.008123531,-0.002384491
137,-0.0013897514,0.0019228363
138,-0.008161945,0.0033719635
139,-0.0038436889,0.0015303802
