,Minute,AverageMovementMagnitude,db
0,0.0,4.0011965541572865,59.84457779
1,1.0,4.172521141172761,67.41614532
2,2.0,3.798159005702074,66.47983551
3,3.0,2.9677397693938077,62.6254158
4,4.0,4.050665997498346,63.54726791
5,5.0,3.9318358812315495,64.03329468
6,6.0,4.109952653678214,60.96144485
7,7.0,4.04619974012468,63.09964371
8,8.0,4.460283970156304,66.13509369
9,9.0,3.6397771730167117,64.44591522
10,10.0,3.212307456219311,66.30845642
11,11.0,4.1618770717283216,67.45141602
12,12.0,3.639438479049775,66.05596161
13,13.0,3.619333319055816,66.49282837
14,14.0,2.8346165381695907,67.50933075
15,15.0,2.852982183328157,66.75390625
16,16.0,1.7101656310161504,64.06181335
17,17.0,2.926503599160025,65.12365723
18,18.0,3.98077620084187,61.34561539
19,19.0,3.9872482355909926,62.29041672
20,20.0,3.8381993134985506,63.17158508
21,21.0,4.107893714293893,61.39211273
22,22.0,3.6267185531377533,61.50245285
23,23.0,3.452412855147409,59.59703445
24,24.0,3.529206350556382,63.1914711
25,25.0,3.7636597406243815,61.55485535
26,26.0,3.962021785760511,58.04174805
27,27.0,3.8746188501126144,60.70869064
28,28.0,3.7404149600265715,61.19770432
29,29.0,4.202187186435718,58.67836761
30,30.0,4.2718079479095605,61.27458191
31,31.0,3.9096844641750215,60.99975967
32,32.0,3.8905780419999427,58.33916092
33,33.0,3.894211636497684,58.19395065
34,34.0,4.2520100746856695,58.20580673
35,35.0,3.925772955563893,56.36810303
36,36.0,3.9868866346379406,57.45288086
37,37.0,3.9972561405773934,58.43606949
38,38.0,3.7242289284381576,60.99172211
39,39.0,4.235665983881925,58.89051819
40,40.0,4.6015426222272415,62.92215347
41,41.0,4.269854908698487,62.10432053
