Frame,FlowX,FlowY
1,3.994157,9.833341
2,3.6028714,7.890122
3,1.3141757,4.322166
4,0.5091438,1.0796808
5,-2.4983473,-1.7871782
6,-2.7971952,-6.3604736
7,-0.3718951,-9.666303
8,-4.207462,-4.7599745
9,-1.9439876,-10.515474
10,-1.152191,9.123239
11,-3.031803,5.5443177
12,-3.8798783,4.452423
13,-3.7308698,-0.6694977
14,-1.9261873,-8.946984
15,-2.031921,-4.5936785
16,-0.8225381,-0.7980025
17,0.92541397,-1.8681695
18,1.8708957,-1.8520612
19,-0.02788641,2.0177984
20,-2.767065,6.404249
21,-2.1522222,-2.9841776
22,-4.3562913,-6.6689367
23,-2.1764672,-1.769996
24,-3.196001,-0.68924296
25,-4.2922297,4.344905
26,-3.83577,7.2368627
27,-5.899664,-0.13361119
28,-7.160349,4.7252784
29,-3.967634,4.280303
30,-3.0020967,5.7547874
31,-1.1319858,-1.9153659
32,-1.1422039,-2.4487464
33,2.5882413,-1.6363366
34,1.718139,0.6905621
35,2.5032222,2.5539763
36,1.859743,0.43029803
37,1.6529318,-1.0028361
38,1.5700176,-0.46931687
39,1.7452601,-0.7299392
40,0.74511474,1.9316865
41,-0.7348166,-0.20685025
42,-1.7961631,1.1335634
43,-3.3678741,3.8309653
44,-3.8905866,5.7751527
45,-2.9510987,3.888503
46,-3.6966114,0.54292274
47,-1.6016116,1.365397
48,-0.73657715,3.4043608
49,3.2344751,2.7527812
50,4.1328697,1.5358101
51,5.1050444,-2.8941123
52,5.9526305,0.94216186
53,5.2756243,1.457779
54,5.875148,-3.3288903
55,6.762515,-0.9219647
56,6.548248,-4.791182
57,6.1996245,-0.9449766
58,5.441958,-0.32713905
59,3.9844687,-2.903798
60,1.0231103,-4.719094
61,-1.5674995,-3.065067
62,-2.4296412,1.0779603
63,-3.2456312,5.8630867
64,-4.1022973,5.9389634
65,-6.414869,-0.0004925537
66,-6.51929,-3.2345486
67,-6.7580895,-1.2516497
68,-4.687056,1.3200345
69,-3.5827186,3.434274
70,-3.091196,2.1396844
71,-1.8320749,0.32399523
72,-0.49447978,3.2397614
73,2.6837537,-1.1852982
74,3.3289547,-4.561879
75,3.877329,-0.8184602
76,3.7654266,4.717384
77,2.6207507,6.738504
78,2.1555192,3.1617846
79,2.0286646,2.5520623
80,-0.6241319,0.6842512
81,-1.4509169,-4.0349746
82,-1.3048656,-5.8817487
83,1.218488,-0.46060097
84,2.148488,0.29362136
85,1.9547305,1.7859248
86,1.2513349,-0.654174
87,0.668015,-1.9773308
88,1.1326075,-0.53249395
89,-0.097308576,0.4783336
90,-1.5142125,0.4541856
91,-4.3005304,0.82844925
92,-4.5674653,-0.46185464
93,-3.4531145,0.2805139
94,-3.701769,1.1998652
95,-3.9390643,-0.7869157
96,-2.9398618,-2.9572518
97,-3.1439047,-2.1741464
98,-2.635035,0.17077164
99,-2.0646603,-1.8492308
100,-1.5454642,-3.5076687
101,-1.2331163,-0.93106997
102,-2.574828,0.24784334
103,-1.6743296,-0.1428719
104,-2.3265603,1.1302392
105,-1.0631069,1.653582
106,0.1769815,0.19240768
107,0.82753235,4.158402
108,1.7673837,-1.4403162
109,1.2900168,3.7575638
110,0.69131684,2.6424673
111,-0.40044305,3.129802
112,-2.8062036,1.4746878
113,-3.418353,-2.1798818
114,-3.98276,-2.3719378
115,-3.8326304,-2.2099295
116,-3.1011846,-0.87165
117,-2.0769134,-1.7967689
118,-2.15097,-0.1386831
119,-3.5479507,1.0080671
120,-2.6872556,1.2135562
121,-2.9210453,0.014190874
122,-2.730676,-0.12654045
123,-1.3472626,2.0106666
124,0.14501329,2.604807
125,0.079079285,2.6993546
126,0.35003662,0.888873
127,0.54734904,-1.4844478
128,1.6221488,-1.7456412
129,0.9251284,-1.979659
130,1.7455621,1.1427437
131,0.054286424,-2.0153475
132,1.0710673,-1.4436477
133,0.0017190552,-3.8074605
134,-3.057364,0.4234494
135,-2.421017,-0.16393471
136,-1.7364937,-2.9394367
137,-2.3177857,4.6721587
138,-0.5937616,7.8391194
139,-1.0011926,5.297373
140,0.37067208,1.9728321
141,0.5020649,-2.8905973
142,1.1046455,-0.44814822
143,2.4792082,-1.1421897
144,3.599533,-5.1311693
145,2.3323274,-5.155352
146,3.7093766,-3.4832838
147,2.9774475,2.5881786
148,3.0148973,-0.4267224
149,2.1502795,0.28850704
150,2.302109,-0.34807235
151,2.229087,2.8154163
152,4.184827,3.531423
153,3.930467,-1.6200747
154,3.594135,-2.7669969
155,3.6096783,-2.4108384
156,3.6096125,0.017431106
157,2.0799484,-2.431472
158,0.44125995,0.4420964
159,-0.30003932,-2.2061825
160,-2.905422,-0.77586085
161,-4.510745,0.6717876
162,-4.4715753,-0.7402336
163,-4.618446,4.102072
164,-5.6844525,4.8074336
165,-5.624564,3.7561219
166,-5.9264846,3.085285
167,-6.714403,2.1945345
168,-5.313328,4.9059105
169,-5.5425305,-3.8107226
170,-4.8549976,-4.4277887
171,-4.6457376,-6.1708403
172,-4.153524,-5.798682
173,-2.9000247,-6.089824
174,-2.4885192,-1.0446163
175,-1.8090591,7.039098
176,-2.1512742,3.3134508
177,-1.9588321,-1.8301083
178,-0.89545786,-0.78678113
179,0.1922675,2.4488845
180,1.9460526,3.1392412
181,1.5329,-0.20171432
182,0.24382244,6.3356714
183,-1.919049,2.953922
184,-2.6806128,-0.7169077
185,-2.4784358,-2.9117703
186,-1.5681926,-4.7252846
187,-1.9984626,3.9293237
188,-1.7586232,-0.08332672
189,-2.7039192,-0.67101884
190,-1.4981363,-0.44304156
191,-2.499181,0.9883126
192,-2.7435114,1.6007164
193,-1.9486306,-1.6585544
194,-2.939931,-1.5481982
195,-3.213719,-1.9717352
196,-2.835556,-1.444319
197,-2.5418327,1.3446774
198,-1.400045,4.76993
199,-0.3023026,1.3271565
200,0.28362474,2.5888507
201,0.7555766,1.8421785
202,3.7681391,2.1642742
203,6.794957,-0.4834475
204,2.688365,-0.21872395
205,6.1390257,-3.0769913
206,5.6689367,-4.2264504
207,4.4426727,-1.4453942
208,5.0899563,1.1305535
209,0.9863144,0.3216768
210,-0.32027984,-0.42118853
211,-0.14824288,-0.3595007
212,-0.2085,-0.60717237
213,-0.47455367,2.4603734
214,-2.6403918,2.5759015
215,-4.628674,1.8661606
216,-4.5519085,2.3461983
217,-5.3018336,2.900023
218,-4.694148,5.9699306
219,-6.87563,-5.0878963
220,-0.11216547,-3.1951315
221,1.8433598,-1.8666301
222,2.0323489,-5.634323
223,4.567489,-6.495981
224,4.2885303,-5.217838
225,3.9463892,6.152234
226,3.67381,2.077313
227,4.3661146,2.1030118
228,2.6650305,3.0821574
229,2.5520926,1.0980029
230,1.5197693,-0.843808
231,0.046451416,0.63879484
232,-2.8786352,4.395747
233,-4.1760707,-0.8338207
234,-6.069952,-3.4341736
235,-6.7571373,-0.48014528
236,-5.2548394,-1.3693055
237,-5.856411,1.2659267
238,-5.070159,-1.4855402
239,-2.0199652,1.148699
240,0.8028349,0.2864631
241,4.7353053,0.19081193
242,4.1286397,0.09449713
243,3.2687838,0.7015983
244,2.9849694,0.02094883
245,4.4426627,-2.992566
246,3.460264,3.2487671
247,1.75325,3.1681616
248,-2.4253705,-3.1849103
249,-3.5568619,2.98955
250,-2.4699662,2.6768389
251,-2.704646,3.7220604
252,-0.25646567,1.010484
253,0.8648834,1.4686193
254,1.7557727,1.227144
255,1.6486746,-2.1519117
256,-0.0654493,2.4840426
257,-1.1136949,4.795791
258,-1.6329782,6.3797326
259,-0.5457734,1.738042
260,-0.70620453,-3.9851012
261,-1.5506608,0.68907595
262,0.42655993,-5.8141685
263,3.1473145,-4.5754714
264,3.2225418,1.4866014
265,1.2473773,4.8802876
266,-0.55622846,3.1829984
267,-0.7629094,-3.5183985
268,-2.551279,-2.2331166
269,-3.6144257,-0.87012947
270,-2.838112,-2.2330353
271,-2.1407242,-0.6746673
272,-0.6222644,2.4049497
273,0.4181817,2.466354
274,3.228777,1.3149072
275,3.5442102,1.3703138
276,3.718048,-2.1667504
277,4.3630643,-2.8592505
278,2.4099379,1.5960006
279,1.9674853,0.6045217
280,2.3445663,-1.2097962
281,1.6776625,-1.6230992
282,0.7523123,0.29426995
283,-0.80621153,1.5945251
284,-1.480958,-1.4111716
285,-2.1993759,-0.84571147
286,-3.2263398,-0.43977842
287,-6.6849065,-0.63386935
288,-5.374594,1.6397154
289,-5.11451,0.5573693
290,-3.597948,6.1994295
291,-2.2735007,0.87555647
292,-1.9223831,-1.0105313
293,-2.3936682,-3.7651098
294,-2.2094042,-2.333877
295,-0.10245823,-1.9160638
296,1.7176132,-0.46534348
297,0.56740946,-3.2574677
298,0.64571184,-0.68044144
299,-0.36446077,2.5615385
300,-2.004704,2.9539764
301,-2.1171682,1.5493784
302,-1.4321316,2.3697937
303,0.6949733,2.501804
304,1.7616409,-0.71912456
305,0.81618255,-2.891222
306,-0.05479664,-0.72664887
307,-0.06729153,0.6378307
308,-0.23982349,-0.9800998
309,0.1578402,-0.59298396
310,-0.66308576,1.7585504
311,-0.59674865,3.57759
312,-0.9568917,4.9885483
313,-0.73775667,0.6872928
314,-1.8349115,-3.3299932
315,-2.5996046,-0.84759545
316,-4.037723,0.26296285
317,-3.4069943,-2.1194973
318,-3.1511793,2.2915587
319,-3.8693194,5.7613044
320,-3.9012585,-1.8221123
321,-4.1542225,-0.9440645
322,-3.902939,1.0363826
323,-2.0505772,-0.78001714
324,-2.673825,4.7258654
325,-0.11843252,7.007134
326,-2.1393366,1.7494327
327,0.054077968,-6.575523
328,0.88882345,4.9901204
329,2.2423475,-1.2778015
330,1.7389752,-4.2540083
331,2.8370502,-4.2499275
332,2.5971649,6.5948415
333,3.2374313,1.8407773
334,3.1772125,-1.7939607
335,3.8587742,-1.6636131
336,3.6862447,0.8240619
337,3.4332955,0.60294074
338,3.6688976,1.4657668
339,0.9073841,0.50747335
340,-0.5709717,-0.633103
341,-1.5801477,-0.055191156
342,-2.2793133,2.147113
343,-2.8178155,-0.34284538
344,-3.4550805,2.545304
345,-4.070881,0.5849861
346,-5.1442494,2.806503
347,-5.0174174,0.35367805
348,-3.6744647,-1.0189837
349,-2.0279725,-1.408699
350,-0.7615425,-0.43724832
351,0.90640724,-5.3465185
352,1.4755222,-2.9192197
353,2.2623258,1.9076613
354,3.1444156,1.113501
355,-0.6498683,1.0594994
356,-3.036184,-0.17783187
357,-3.0149655,2.1521955
358,-3.1921136,1.4831557
359,-3.1550522,0.12170719
360,-3.5710418,-2.4011643
361,-1.9995995,3.6075625
362,0.26291877,6.073913
363,1.7788632,0.77422523
364,1.5098283,2.124831
365,2.2009387,2.9518723
366,2.0688224,-2.4605541
367,3.0419052,0.77777916
368,4.967005,1.3148031
369,5.1315465,4.6025395
370,5.726647,3.3458395
371,5.57012,-1.2582942
372,5.5782037,0.41641372
373,3.9397027,-0.28744715
374,2.0781744,3.422017
375,0.36273018,2.5970411
376,-0.4137893,-2.8128152
377,-3.0345876,0.71655536
378,-5.417989,-2.4027123
379,-4.6082854,-5.1337986
380,-5.9742,-0.34944808
381,-4.9086103,0.8935106
382,-4.102898,-2.1216178
383,-4.697357,-1.6674635
384,-3.8979003,0.24558857
385,-2.602397,0.8908329
386,-1.051435,1.9183686
387,-0.7895759,1.9693376
388,0.5542283,2.4115527
389,0.032426223,-0.9639329
390,0.75966173,0.12565598
391,0.9698093,1.5332888
392,-0.3083777,2.4353933
393,-0.41367376,1.4010044
394,-0.4182732,2.1641595
395,-0.53232044,-1.859728
396,0.6695061,-1.1139958
397,0.94889015,-1.9820541
398,1.8240377,2.7744284
399,1.4201812,1.3468769
400,2.5724473,-0.28098437
401,1.3752463,-0.68671995
402,1.5951446,-1.1061873
403,0.29553604,-2.793375
404,0.0809886,-1.447379
405,0.6212149,-1.4911239
406,0.81584305,-0.10941349
407,0.75789887,-1.6630795
408,0.700225,-2.043673
409,-0.5156639,1.7862334
410,0.054764405,-1.695198
411,-0.55032396,-1.9242309
412,-1.5496118,3.1809027
413,-2.1965826,-1.1974736
414,-2.5338044,0.17628731
415,-2.344987,1.6182562
416,-2.7227583,0.82490623
417,-2.066715,-0.48458847
418,-2.5843854,1.2936004
419,-2.3947191,-1.4888023
420,-1.7900977,-1.0465599
421,-1.4289523,-1.1998899
422,-1.953004,1.8461599
423,-2.1042855,-7.025217
424,-1.3418093,3.0489295
425,-1.9121975,1.6828485
426,1.252004,3.7438078
427,0.593626,0.17391518
428,4.178997,4.4058805
429,1.2976575,4.0585146
430,4.5622225,2.8041131
431,5.352785,0.7344529
432,4.6326447,0.45583314
433,4.280782,-0.36701548
434,4.0997667,-2.8342764
435,2.2167714,-2.734391
436,1.5042261,1.7997273
437,-0.40304986,-1.4939685
438,0.5063361,-0.88986105
439,-0.7423677,1.5085518
440,0.4523284,-0.2573333
441,0.793926,-1.431177
442,0.42925036,0.5539782
443,1.1055102,-0.68141097
444,1.4547548,0.69898677
445,1.0621704,2.05419
446,0.44652122,-1.5928258
447,-0.94394,2.1728842
448,-1.1991317,1.7173082
449,-1.1981679,1.9531207
450,-0.85227937,3.7413294
451,-0.29691344,1.8101373
452,-0.22026423,1.2174295
453,0.8063695,1.3023481
454,1.2620347,-0.88993853
455,1.3213038,-0.79963267
456,2.1457756,-0.43565154
457,1.14192,-1.6538216
458,0.9776752,-1.133686
459,-0.23253128,0.53958535
460,-0.44331145,0.6234745
461,-0.5686064,-1.3852947
462,0.12506385,-3.103861
463,1.5012732,0.1808825
464,1.4890007,-0.6585424
465,4.071897,-0.51477575
466,3.1421888,2.2619991
467,2.0716035,0.567395
468,2.3763514,1.797669
469,-0.3955336,0.8808716
470,-0.589422,0.9947439
471,-0.77035975,-0.11196602
472,-0.9086198,1.8184644
473,-0.3685269,1.4117836
474,1.3535484,0.139327
475,2.5463874,1.7349554
476,2.223169,2.1257927
477,3.6471448,-1.8030815
478,5.1053863,-1.367605
479,4.648294,-1.801958
480,4.3764744,-2.6215436
481,4.5194683,-2.444111
482,4.094884,-2.8156981
483,3.9257727,0.9262681
484,2.1941094,2.4989486
485,1.6933262,1.6363941
486,0.49057385,-2.666773
487,3.6884124,-0.11838825
488,-0.054528657,1.8987576
489,-1.4857726,3.0687542
490,-2.8641198,3.4972317
491,-4.3965216,0.48136914
492,-4.0028324,5.434991
493,-3.838953,6.395406
494,-3.4692533,0.79158694
495,-3.5637817,-1.191812
496,-3.472731,-0.56288314
497,-1.8560818,-1.3677793
498,-0.5076197,0.17377076
499,1.4990729,1.3278351
500,0.7385366,-4.706142
501,3.0383103,5.1643286
502,2.3317492,2.2976916
503,2.448415,0.33575067
504,3.6571908,0.51896906
505,4.5833607,2.4637759
506,4.0647144,2.8867304
507,3.789834,6.569745
508,3.6825972,4.213536
509,3.4358993,1.9662389
510,2.799624,-0.3503827
511,3.1362448,2.4987795
512,3.435813,0.32993266
513,4.1242266,-3.7282543
514,4.409552,-0.41324818
515,4.3959136,-1.1694447
516,3.3795896,1.1200997
517,3.307165,-4.4048305
518,3.1271203,-4.750802
519,2.8404922,-3.0504143
520,2.054303,0.24185173
521,0.7605433,-2.8416576
522,-0.2154631,-2.0539923
523,-1.1069199,-3.5015478
524,-1.5329022,-0.13915771
525,-1.7067177,-1.0305202
526,-2.9992316,0.12284542
527,-1.3945895,-1.4998946
528,-0.85285926,-0.85954386
529,-0.05764473,0.19792809
530,1.2406484,1.7063614
531,2.1074111,1.2401285
532,3.3133898,-3.3194802
533,3.1604614,-0.41108188
534,4.5041223,4.8512926
535,4.85296,-1.2874198
536,3.5611413,-1.7333233
537,3.6739414,-2.4609027
538,3.4261236,-0.21693386
539,2.9657989,1.0557556
540,3.6937983,3.3637054
541,3.6963744,-1.2604898
542,3.9093192,1.3762735
543,1.6129892,4.846239
544,1.9012163,0.29131526
545,1.6820912,1.7641541
546,2.3257427,-1.6567236
547,5.023036,-0.31200972
548,5.207169,5.2499266
549,5.1817155,-2.6889389
550,5.59264,-1.7469257
551,4.2696385,-1.3978833
552,5.2212596,1.6783357
553,4.5860286,-2.680576
554,6.0088267,-0.38101876
555,5.8502526,0.84337926
556,3.4211035,1.2578504
557,3.9987211,2.0247202
558,5.7130456,-0.14929566
559,5.323044,1.5315346
560,4.5266933,1.8494656
561,4.2101364,-2.3104649
562,2.1753092,2.0435064
563,2.9163063,2.4267373
564,3.5392547,-1.2737839
565,3.967724,1.1463134
566,2.5483367,-0.6683228
567,2.515921,2.8157482
568,3.179611,3.6741047
569,2.8322642,-0.7928304
570,3.832501,-5.8721466
571,4.8186665,3.2500849
572,4.0443892,-7.1907105
573,3.7437396,-6.9191685
574,3.1995533,-7.695387
575,2.1494641,-6.513779
576,3.928167,-4.8259177
577,2.465778,-7.883137
578,3.5982118,-6.9611254
579,2.9242303,1.6747054
580,0.24623238,6.3512535
581,2.49467,3.2207882
582,2.753117,5.201575
583,2.6643903,3.9154427
584,4.5468864,2.873404
585,3.461199,6.2770386
586,2.7839909,7.316572
587,3.594632,3.4251819
588,5.366462,0.9548155
589,5.455976,-3.4481454
590,4.6262646,-0.35235932
591,3.6914117,-0.86126465
592,2.8420668,-0.06516311
593,3.1774216,0.84059125
594,3.018281,1.9031537
595,3.2574532,0.64945495
596,3.2601368,-0.16562751
597,2.531106,2.2129006
598,3.4860003,1.2041358
599,4.4696674,2.1740828
600,3.8912442,-1.7287583
601,5.1956544,0.69231874
602,6.440857,-5.78181
603,5.114431,-5.5749497
604,4.850531,-2.505207
605,4.335951,0.58068824
606,4.6142225,-0.8209766
607,4.977548,-2.136647
608,6.1663685,-1.1635752
609,5.8323555,0.50858134
610,4.820451,1.6714865
611,5.3346033,0.47804582
612,3.8475142,1.9924207
613,6.1315603,-1.422952
614,5.678899,1.206914
615,5.793349,-1.8445876
616,4.958687,-2.5398183
617,4.835309,-0.4013693
618,3.756688,-0.3486887
619,4.4093633,-1.1643835
620,3.9488964,0.5260462
621,2.7602124,0.14022547
622,5.163322,-4.136044
623,3.9644318,-5.822797
624,4.5378146,3.2792873
625,3.4385636,-0.9021731
626,3.043141,-0.058295134
627,3.7936466,2.4127495
628,3.926878,-2.4076824
629,5.117861,0.5956875
630,3.7275164,0.40801254
631,3.790714,-2.380516
632,3.1544142,-3.732503
633,1.3693715,-3.506904
