Frame,FlowX,FlowY
1,2.9838455,4.188431
2,3.4928129,1.2952799
3,3.4805715,2.0420964
4,4.58556,1.115395
5,5.238613,2.9783828
6,4.447336,1.1369821
7,3.2718866,1.3861716
8,1.354971,1.6769749
9,-1.1194226,2.3930697
10,-2.0277562,3.31689
11,-0.8145264,6.0056853
12,-0.08199249,4.227833
13,1.0415251,2.5868793
14,0.37068617,2.5136192
15,0.06174221,1.6963773
16,-1.4876692,2.8496783
17,-1.3396345,2.598805
18,-1.567998,3.1731646
19,-1.7512274,1.9479268
20,-2.0769403,0.5908998
21,-2.8317459,1.0597292
22,-2.3680453,2.7175965
23,-1.498298,2.5915427
24,-1.1650054,3.0105767
25,-0.59379065,2.3950572
26,-1.1483407,1.6242044
27,-1.4534378,2.8963745
28,-0.69174474,2.8053687
29,0.79853225,2.206096
30,0.6287379,1.842683
31,0.60350364,2.5109675
32,1.9597223,0.36831656
33,1.8792884,3.4832215
34,2.3679624,2.1053452
35,2.0985792,2.0566964
36,1.6162509,3.4231446
37,0.9795998,-0.7426933
38,1.0462272,0.23973614
39,-0.9719682,4.0299873
40,-1.9613951,4.301423
41,-1.9941128,3.8209124
42,-2.6506634,3.7331877
43,-3.9250927,2.4621928
44,-2.8828998,-0.077565536
45,-1.9318938,2.682517
46,-0.72109663,2.6864405
47,0.48156807,2.9012864
48,-1.0476861,2.8482597
49,-0.37401775,0.80215997
50,-0.95804375,2.0383074
51,-1.6283184,2.4285133
52,-0.49382555,3.4662213
53,-0.3698364,4.2810097
54,-0.15806314,4.396239
55,0.36212677,3.7497418
56,1.5206686,4.482217
57,3.0288167,4.169139
58,3.6526935,3.3843591
59,4.908467,3.4070253
60,4.7753687,5.4180946
61,5.740457,6.2535033
62,5.2296443,2.8236136
63,4.612167,3.1458337
64,2.797383,3.4417944
65,1.4168427,1.0179504
66,0.5236941,3.7223585
67,-0.36822262,5.7696686
68,-1.2291555,2.4200246
69,-1.7058352,5.04981
70,-2.3537803,4.0060725
71,-2.1779988,3.2271197
72,-3.1068816,2.350383
73,-3.4486673,3.4967237
74,-3.9618964,3.5197284
75,-3.2762275,4.19763
76,-4.7407427,2.3884382
77,-3.9769995,2.3450775
78,-3.7400796,4.1787863
79,-3.5573814,4.4657617
80,-2.5898538,5.359109
81,-1.8165251,5.902896
82,-1.3033385,4.739957
83,0.42712525,3.7194326
84,2.203683,3.3883612
85,3.2891428,3.9659472
86,4.7021894,3.1753585
87,5.725826,2.2950103
88,5.537979,1.8089824
89,6.2102203,4.6644063
90,6.5185237,4.224368
91,5.4907117,6.4570227
92,4.178107,6.0404224
93,2.6297262,1.5924281
94,-0.15929915,4.2159286
95,-2.1360767,2.0519502
96,-2.4594,-0.9625266
97,-4.68982,3.1438239
98,-6.568548,-0.58831686
99,-7.5409923,-2.5863526
100,-8.235392,2.7127619
101,-8.184668,1.3061517
102,-9.200974,3.1695964
103,-8.508383,3.5286672
104,-7.9870534,0.4139662
105,-7.353979,-1.2462897
106,-4.409125,3.5623562
107,-3.4148014,5.2314863
108,-0.9681759,6.5517626
109,-0.06164322,5.33063
110,0.49234474,6.7012706
111,1.8393681,2.32748
112,1.8925498,3.9353666
113,2.6631653,3.0192819
114,3.2850244,5.690586
115,4.234144,1.3627759
116,2.8252878,0.5700303
117,3.0290964,1.9630418
118,4.214322,0.829201
119,4.0547,1.4619428
120,2.751252,1.3929776
121,2.0275893,1.321693
122,0.91207486,3.142697
123,0.1641858,0.3805314
124,-0.74819994,3.7987583
125,-1.4006,3.3919818
126,-0.98545843,2.8492053
127,0.076346874,3.5692518
128,0.13393988,6.3529453
129,-0.25399396,-1.1207362
130,-1.2367105,1.0053911
131,-1.9601326,1.9384493
132,-2.9670153,0.8827667
133,-2.6004913,2.4613183
134,-2.5545316,2.1464977
135,-2.8765519,2.0030334
136,-2.2187018,2.2332668
137,-1.1660566,4.006186
138,0.23615958,4.4729533
139,1.3602788,4.6150656
140,2.9434614,3.0905752
141,4.02226,2.6913183
142,4.863492,3.96091
143,5.2497315,2.8846097
144,5.8619533,2.6082077
145,5.7650733,3.7082694
146,6.177978,2.079722
147,6.677161,3.1215727
148,6.087263,4.482813
149,6.3960795,3.1219559
150,5.2967687,2.3171823
151,5.2495713,4.822014
152,4.6891828,2.8090112
153,4.4262786,2.6575208
154,2.5449102,7.350784
155,1.2193444,4.5626216
156,0.9277517,4.0594444
157,0.34119636,3.222506
158,-0.9440419,3.56096
159,-1.500206,1.7428415
160,-2.4741502,3.2633517
161,-2.7189355,4.0458155
162,-2.234947,3.483627
163,-1.4202877,2.4114954
164,0.28962213,1.4123708
165,1.5635364,0.050639458
166,2.2324429,1.8925467
167,2.1123238,4.901405
168,2.231125,7.699062
169,2.3132846,5.7652016
170,3.6506567,6.7616754
171,3.664446,4.4523945
172,3.8443036,2.903473
173,3.7168179,3.1852002
174,3.4917948,3.5060325
175,4.622724,3.179411
176,5.383008,0.57451826
177,4.4311585,0.9139113
178,4.233202,-2.3858998
179,2.511188,0.8575419
180,1.0420791,1.8083752
181,1.1834866,0.5126792
182,-0.42235383,-0.08607649
183,-2.1405756,3.084755
184,-2.9315767,4.900433
185,-3.6924503,6.776476
186,-3.6646333,4.67832
187,-3.9115489,6.8533993
188,-4.7671614,2.7612352
189,-5.037629,1.9168979
190,-4.9456625,2.0674953
191,-5.461157,4.71848
192,-5.0406055,2.1518502
193,-3.6588507,3.4425905
194,-2.5209162,3.9882812
195,-1.9283425,5.3584065
196,-0.43007278,5.453705
197,0.52217406,5.1527534
198,1.3929105,2.9923284
199,0.9777017,1.2191441
200,0.4150418,3.4533143
201,1.4259146,4.3315845
202,1.04473,2.0728238
203,1.8723029,3.5585096
204,2.456189,1.6855434
205,3.2980528,-0.2537046
206,4.10051,1.2207294
207,4.0392494,3.5430884
208,4.333117,2.3373725
209,4.898874,2.9829419
210,4.6914034,1.2367444
211,2.3681116,2.576692
212,2.2891064,1.4681511
213,2.1973226,3.4332943
214,2.047247,3.866783
215,0.45048812,3.0820117
216,-1.4645746,0.37977615
217,-2.9362702,0.20825939
218,-4.4518385,0.23817007
219,-6.253729,1.8207028
220,-6.479959,1.0751468
221,-7.5713415,1.8821312
222,-7.511939,3.841001
223,-6.488707,2.9402182
224,-5.197056,4.603862
225,-4.5148726,2.415284
226,-2.1982496,2.2693653
227,-0.08381546,1.876304
228,1.7742783,5.070974
229,4.7377014,2.2174606
230,5.9844713,4.757311
231,6.405991,2.1476731
232,7.3832355,-0.37649667
233,6.9756727,0.5471624
234,5.9547906,-0.79440874
235,4.7647533,-0.72430146
236,2.8324037,0.41227508
237,1.379268,0.7831094
238,0.635028,2.1365812
239,0.026626835,1.2129191
240,-0.7910976,-3.720384
241,-2.6286163,-5.8004537
242,-3.629396,2.356964
243,-4.454011,1.9376674
244,-6.2250032,1.5625998
245,-5.3036146,8.652358
246,-0.98894256,8.713322
247,-2.871654,-10.1904545
