LineString,Time
"LINESTRING(-0.043631 51.522222, -0.043868 51.522208)",
"LINESTRING(-0.043868 51.522208, -0.044058 51.522192)",
"LINESTRING(-0.044058 51.522192, -0.04426 51.522166)",
"LINESTRING(-0.04426 51.522166, -0.044486 51.522111)",03:38
"LINESTRING(-0.044486 51.522111, -0.044753 51.522061)",
"LINESTRING(-0.044753 51.522061, -0.045097 51.521991)",
"LINESTRING(-0.045097 51.521991, -0.045449 51.521922)",
"LINESTRING(-0.045449 51.521922, -0.045725 51.521865)",03:51
"LINESTRING(-0.045725 51.521865, -0.046168 51.521779)",04:00
"LINESTRING(-0.046168 51.521779, -0.046267 51.521758)",04:06
"LINESTRING(-0.046267 51.521758, -0.046314 51.521743)",
"LINESTRING(-0.046314 51.521743, -0.046348 51.521723)",
"LINESTRING(-0.046348 51.521723, -0.046659 51.521663)",
"LINESTRING(-0.046659 51.521663, -0.046736 51.521666)",
"LINESTRING(-0.046736 51.521666, -0.046823 51.52166)",
"LINESTRING(-0.046823 51.52166, -0.047607 51.521501)",04:14
"LINESTRING(-0.047607 51.521501, -0.048539 51.521308)",04:23
"LINESTRING(-0.048539 51.521308, -0.048635 51.521287)",
"LINESTRING(-0.048635 51.521287, -0.048838 51.521243)",
"LINESTRING(-0.048838 51.521243, -0.048863 51.521224)",
"LINESTRING(-0.048863 51.521224, -0.049058 51.521184)",04:32
"LINESTRING(-0.049058 51.521184, -0.049205 51.521154)",
"LINESTRING(-0.049205 51.521154, -0.049349 51.521168)",
"LINESTRING(-0.049349 51.521168, -0.049421 51.521153)",
"LINESTRING(-0.049421 51.521153, -0.049479 51.52114)",
"LINESTRING(-0.049479 51.52114, -0.049524 51.52113)",04:48
"LINESTRING(-0.049524 51.52113, -0.049574 51.521124)",
"LINESTRING(-0.049574 51.521124, -0.049608 51.521124)",
"LINESTRING(-0.049608 51.521124, -0.049658 51.521128)",
"LINESTRING(-0.049658 51.521128, -0.049684 51.521134)",
"LINESTRING(-0.049684 51.521134, -0.049711 51.521133)",
"LINESTRING(-0.049711 51.521133, -0.049813 51.521112)",
"LINESTRING(-0.049813 51.521112, -0.049948 51.521086)",
"LINESTRING(-0.049948 51.521086, -0.05005 51.521067)",
"LINESTRING(-0.05005 51.521067, -0.05007 51.521057)",
"LINESTRING(-0.05007 51.521057, -0.050088 51.521034)",
"LINESTRING(-0.050088 51.521034, -0.050114 51.521016)",
"LINESTRING(-0.050114 51.521016, -0.050263 51.520974)",05:00
"LINESTRING(-0.050263 51.520974, -0.050309 51.520963)",
"LINESTRING(-0.050309 51.520963, -0.050344 51.520955)",
"LINESTRING(-0.050344 51.520955, -0.051653 51.520657)",
"LINESTRING(-0.051653 51.520657, -0.05212 51.52055)",
"LINESTRING(-0.05212 51.52055, -0.05249 51.520469)",
"LINESTRING(-0.05249 51.520469, -0.052581 51.520451)",
"LINESTRING(-0.052581 51.520451, -0.053007 51.52037)",
"LINESTRING(-0.053007 51.52037, -0.05349 51.52029)",
"LINESTRING(-0.05349 51.52029, -0.053545 51.520282)",
"LINESTRING(-0.053545 51.520282, -0.054002 51.520212)",
"LINESTRING(-0.054002 51.520212, -0.054991 51.520025)",
"LINESTRING(-0.054991 51.520025, -0.055042 51.519996)",06:00
"LINESTRING(-0.055042 51.519996, -0.055116 51.519964)",
"LINESTRING(-0.055116 51.519964, -0.055181 51.51995)",
"LINESTRING(-0.055181 51.51995, -0.055302 51.519926)",
"LINESTRING(-0.055302 51.519926, -0.055547 51.519881)",
"LINESTRING(-0.055547 51.519881, -0.055972 51.5198)",
"LINESTRING(-0.055972 51.5198, -0.055985 51.519798)",
"LINESTRING(-0.055985 51.519798, -0.056042 51.519805)",
"LINESTRING(-0.056042 51.519805, -0.056103 51.519795)",
