geometry
POINT(-0.030453 51.523116)
POINT(-0.030707 51.523655)
POINT(-0.030718 51.523674)
POINT(-0.030753 51.523739)
POINT(-0.030893 51.524)
POINT(-0.031043 51.524279)
POINT(-0.031117 51.524418)
POINT(-0.031159 51.524488)
POINT(-0.031305 51.524765)
POINT(-0.031364 51.524833)
POINT(-0.03157 51.525266)
POINT(-0.03159 51.525308)
POINT(-0.031742 51.525563)
POINT(-0.031742 51.525563)
POINT(-0.031789 51.525642)
POINT(-0.03181 51.525677)
POINT(-0.031814 51.525684)
POINT(-0.031978 51.525655)
POINT(-0.032065 51.525613)
POINT(-0.032381 51.525536)
POINT(-0.032859 51.525416)
POINT(-0.033112 51.525355)
POINT(-0.03325 51.525322)
POINT(-0.033289 51.525318)
POINT(-0.033408 51.525288)
POINT(-0.033481 51.525314)
POINT(-0.03356 51.525288)
POINT(-0.033641 51.525269)
POINT(-0.033694 51.525259)
POINT(-0.03392 51.525207)
POINT(-0.03408 51.525167)
POINT(-0.034185 51.525139)
POINT(-0.034185 51.525103)
POINT(-0.034333 51.525061)
POINT(-0.034403 51.52504)
POINT(-0.034461 51.525025)
POINT(-0.034698 51.524989)
POINT(-0.034878 51.52493)
POINT(-0.035072 51.524872)
POINT(-0.035127 51.524855)
POINT(-0.035199 51.524841)
POINT(-0.03529 51.524802)
POINT(-0.035307 51.524783)
POINT(-0.035518 51.524726)
POINT(-0.035642 51.524685)
POINT(-0.036367 51.524405)
POINT(-0.036534 51.524344)
POINT(-0.036568 51.524322)
POINT(-0.036598 51.524311)
POINT(-0.036693 51.524274)
POINT(-0.0368 51.524256)
POINT(-0.036831 51.524246)
POINT(-0.036918 51.524218)
POINT(-0.037028 51.524177)
POINT(-0.037066 51.524163)
POINT(-0.037158 51.524124)
POINT(-0.037308 51.524056)
POINT(-0.037541 51.523946)
POINT(-0.037608 51.523915)
POINT(-0.037915 51.523777)
POINT(-0.038136 51.523651)
POINT(-0.038288 51.523571)
POINT(-0.038431 51.52349)
POINT(-0.03853 51.523432)
POINT(-0.038817 51.523298)
POINT(-0.038938 51.523251)
POINT(-0.038969 51.523232)
POINT(-0.039004 51.523212)
POINT(-0.039102 51.523176)
POINT(-0.03926 51.523115)
POINT(-0.039331 51.523107)
POINT(-0.039389 51.523091)
POINT(-0.039749 51.522973)
POINT(-0.039901 51.522926)
POINT(-0.039988 51.522898)
POINT(-0.040175 51.522839)
POINT(-0.040301 51.522807)
POINT(-0.040522 51.522751)
POINT(-0.041032 51.522611)
POINT(-0.04107 51.522603)
POINT(-0.04107 51.522603)
POINT(-0.041871 51.522429)
POINT(-0.041914 51.522422)
POINT(-0.041981 51.522408)
POINT(-0.04205 51.522394)
POINT(-0.042123 51.522382)
POINT(-0.042187 51.522364)
POINT(-0.042228 51.52234)
POINT(-0.042466 51.522299)
POINT(-0.042614 51.52228)
POINT(-0.042673 51.522285)
POINT(-0.042726 51.522279)
POINT(-0.042798 51.52227)
POINT(-0.042978 51.522249)
POINT(-0.043087 51.522238)
POINT(-0.043255 51.522238)
POINT(-0.043307 51.522236)
POINT(-0.043631 51.522222)
POINT(-0.043868 51.522208)
POINT(-0.044058 51.522192)
POINT(-0.04426 51.522166)
POINT(-0.044486 51.522111)
POINT(-0.044753 51.522061)
POINT(-0.045097 51.521991)
POINT(-0.045449 51.521922)
POINT(-0.045725 51.521865)
POINT(-0.046168 51.521779)
POINT(-0.046267 51.521758)
POINT(-0.046314 51.521743)
POINT(-0.046348 51.521723)
POINT(-0.046659 51.521663)
POINT(-0.046736 51.521666)
POINT(-0.046823 51.52166)
POINT(-0.048539 51.521308)
POINT(-0.048635 51.521287)
POINT(-0.048838 51.521243)
POINT(-0.048863 51.521224)
POINT(-0.049058 51.521184)
POINT(-0.049205 51.521154)
POINT(-0.049349 51.521168)
POINT(-0.049421 51.521153)
POINT(-0.049479 51.52114)
POINT(-0.049524 51.52113)
POINT(-0.049574 51.521124)
POINT(-0.049608 51.521124)
POINT(-0.049658 51.521128)
POINT(-0.049684 51.521134)
POINT(-0.049711 51.521133)
POINT(-0.049813 51.521112)
POINT(-0.049948 51.521086)
POINT(-0.05005 51.521067)
POINT(-0.05007 51.521057)
POINT(-0.050088 51.521034)
POINT(-0.050114 51.521016)
POINT(-0.050263 51.520974)
POINT(-0.050309 51.520963)
POINT(-0.050344 51.520955)
POINT(-0.051653 51.520657)
POINT(-0.05212 51.52055)
POINT(-0.05249 51.520469)
POINT(-0.052581 51.520451)
POINT(-0.053007 51.52037)
POINT(-0.05349 51.52029)
POINT(-0.053545 51.520282)
POINT(-0.054002 51.520212)
POINT(-0.054991 51.520025)
POINT(-0.055042 51.519996)
POINT(-0.055116 51.519964)
POINT(-0.055181 51.51995)
POINT(-0.055302 51.519926)
POINT(-0.055547 51.519881)
POINT(-0.055972 51.5198)
POINT(-0.055985 51.519798)
POINT(-0.056042 51.519805)
POINT(-0.056103 51.519795)
POINT(-0.056206 51.519792)
POINT(-0.056307 51.519806)
POINT(-0.056394 51.519785)
POINT(-0.056484 51.519762)
POINT(-0.056553 51.519716)
POINT(-0.056603 51.519707)
POINT(-0.056666 51.519697)
POINT(-0.05755 51.519519)
POINT(-0.057882 51.519452)
POINT(-0.059166 51.51919)
POINT(-0.059369 51.519147)
POINT(-0.059472 51.519121)
POINT(-0.059895 51.519027)
POINT(-0.059978 51.519008)
POINT(-0.06005 51.518973)
POINT(-0.060239 51.518931)
POINT(-0.060375 51.518898)
POINT(-0.060653 51.518837)
POINT(-0.060907 51.518779)
POINT(-0.060965 51.51879)
POINT(-0.060984 51.518787)
POINT(-0.061074 51.51877)
POINT(-0.061148 51.518756)
POINT(-0.061165 51.518753)
POINT(-0.06121 51.518714)
POINT(-0.0615 51.518657)
POINT(-0.062478 51.518424)
POINT(-0.06257 51.518419)
POINT(-0.062632 51.518405)
POINT(-0.062745 51.518395)
POINT(-0.062825 51.518396)
POINT(-0.063006 51.518353)
POINT(-0.063064 51.51834)
POINT(-0.063136 51.518332)
POINT(-0.063272 51.518341)
POINT(-0.063348 51.518325)
POINT(-0.063404 51.518309)
POINT(-0.063975 51.518155)
POINT(-0.06446 51.51802)
POINT(-0.064846 51.51792)
POINT(-0.06498 51.517886)
POINT(-0.065012 51.517877)
POINT(-0.065112 51.517847)
POINT(-0.065242 51.517807)
POINT(-0.065402 51.517764)
POINT(-0.065566 51.517712)
