Frame,FlowX,FlowY
1,-0.7091489,-1.0636559
2,-0.5355025,0.11362702
3,-1.265861,1.6656618
4,-1.9017434,2.4602578
5,-0.4575475,3.364704
6,-0.40608123,-0.8021647
7,1.4207453,-4.905188
8,2.2098284,-2.2030244
9,0.6414056,0.86773354
10,-0.09963779,-1.5537583
11,0.22885698,5.260435
12,-1.1900656,0.68593186
13,-2.5227764,1.3893565
14,-1.2660778,-0.78608316
15,0.23023796,4.2547727
16,-0.6229968,-3.593062
17,-0.70716715,-3.8929257
18,2.6665816,6.524641
19,2.475568,7.2571025
20,2.3230648,1.5289792
21,1.8566544,-0.028376542
22,2.0461657,-1.0095994
23,0.781305,-1.5101048
24,1.3146787,-3.7568963
25,3.1213174,-0.664982
26,2.174361,-1.0374452
27,1.8698509,-1.0346183
28,2.6898894,0.570513
29,2.9329464,4.7367296
30,2.6640189,-4.992358
31,2.7510223,3.058181
32,1.1816678,2.6346285
33,1.4344465,3.6283026
34,2.8466637,-0.23426186
35,3.7585003,0.07571907
36,2.1560345,4.795399
37,2.9729705,0.5297847
38,5.093423,2.807353
39,3.6036017,-0.91263545
40,0.9068152,-6.0927577
41,1.812773,2.242092
42,2.0000384,1.4746714
43,1.2728626,-0.63012993
44,2.5355842,-2.3492742
45,0.9018819,1.053329
46,2.0369291,0.5797738
47,2.440802,0.78087145
48,2.1939442,-4.610081
49,3.1675138,1.6899817
50,1.5895604,1.0411423
51,2.3078241,-1.3007917
52,1.2431915,3.153346
53,1.0507683,-6.6491947
54,2.398296,2.50159
55,1.979599,-0.30131096
56,3.8128464,2.3512645
57,0.1662306,4.5124826
58,1.0617054,-6.5325494
59,0.72498596,2.8779664
60,-2.3043547,-0.70570815
61,0.5063348,0.12439865
62,2.387374,4.111004
63,1.3663096,-2.4584208
64,0.6443207,1.6022499
65,3.6297455,1.5802553
66,4.413011,-1.8976458
67,3.7256863,1.5797606
68,1.0013123,1.8095696
69,-0.27936667,-1.0643653
70,-0.23005478,7.373283
71,-0.6217495,-3.3550897
72,-1.0935384,-5.004546
73,-1.2496998,7.7554317
74,-1.4378407,-0.1327809
75,-0.6816114,4.966637
76,-0.038869437,5.5774326
77,-0.07975802,-5.157021
78,1.2793651,-0.9071893
79,-0.0068802834,-0.98882157
80,0.79894465,-1.0255114
81,2.0691872,2.4249864
82,3.121478,-0.20911984
83,4.6026692,-2.5585763
84,4.0366774,0.5596639
85,4.324705,0.03316408
86,2.711256,1.7828155
87,2.8296554,0.4694218
88,1.4007924,-5.6779194
89,1.1022286,-0.36871216
90,-0.026577873,-2.85043
91,0.4386853,2.9000921
92,-0.6823978,5.233242
93,-2.5651898,5.18341
94,-2.2648237,1.9306782
95,-1.8787146,1.0184821
96,-2.080986,1.6381356
97,-0.24745941,-2.768594
98,1.417845,2.536879
99,2.1701844,6.107127
100,2.0676215,-0.27723747
101,3.6618705,0.15014969
102,4.0857263,-1.5010446
103,4.2321906,-2.135949
104,6.0223846,-1.740575
105,5.936586,3.252829
106,4.71879,4.131056
107,4.0991344,-0.2127822
108,4.523853,4.1172643
109,4.0990095,-2.0675907
110,4.7618785,-0.5572997
111,0.6454851,-4.5131793
112,-0.96927345,-3.7501998
113,0.073164135,-1.4702553
114,-2.427539,3.5406618
115,-0.7805964,1.2153039
116,-2.196002,2.0101478
117,-2.4790974,3.8290384
118,-3.1025357,-0.26667145
119,-2.1591392,0.22788277
120,-1.4903046,1.467284
121,-1.386897,0.850789
122,-1.467702,-0.9311203
123,-2.5210414,0.61003053
124,-5.514296,1.73052
125,-3.8717966,-1.5220915
126,-3.403277,3.6368194
127,-0.4703282,2.9114358
128,2.8937957,3.7884245
129,3.7447329,2.6559784
130,4.67908,-2.6344757
131,6.850248,1.6857977
132,6.6486335,0.6506996
133,5.298399,-0.71334815
134,5.753255,-3.0391326
135,4.4463115,-0.44610557
136,0.77563024,-1.6903222
137,-2.7810242,-5.0193777
138,-3.917584,0.50316936
139,-3.7348177,-1.2401687
140,-2.6277955,0.3682342
141,-0.0041843033,-0.5413855
142,0.9542153,5.4896507
143,-1.0051866,4.351572
144,-1.699715,-1.1444317
145,-4.10335,3.0350585
146,-6.13086,0.834644
147,-5.1739154,-6.882135
148,-8.858883,-4.120595
149,-9.680757,-3.7757587
150,-8.919615,-4.890671
151,-7.2557607,2.8643265
152,-8.802839,3.7387981
153,-6.5393095,2.5082245
154,-0.47951278,9.967252
155,-1.9116741,2.172039
156,-0.6677771,-1.8081958
157,1.5228009,1.0122966
158,5.0197225,2.2364595
159,3.7979858,-0.32736358
160,5.4559283,-2.7135487
161,4.9384127,-0.8049022
162,3.5875123,-0.5646524
163,2.2037451,0.42866287
164,2.7247317,2.7298777
165,5.4403605,4.496866
166,5.624477,2.5696704
167,4.8863907,-1.3005508
168,5.369246,2.5169132
169,4.5347404,0.16093154
170,4.114081,2.7421098
171,3.6831021,2.4297419
172,2.9055276,3.7968695
173,4.294156,-3.6771023
174,4.540177,-0.5089749
175,2.7036483,-3.5599706
176,3.6180048,-3.447894
177,1.911758,2.5136635
178,-0.35722238,1.236303
179,-0.06567543,-4.8932657
180,-0.1381187,-3.6799498
181,-2.3555565,1.8369907
182,-1.7797703,1.4296091
183,-1.2962338,3.0123293
184,-0.62947685,8.996984
185,-1.4662248,-3.3851352
186,-1.1636224,-5.957293
187,-1.3669554,-1.5184346
188,-1.2834842,-2.4510212
189,0.55432874,-3.4203088
190,-1.1829683,2.5052826
191,0.4175583,-1.8714154
192,0.5903566,-3.5453053
193,-1.2776589,-4.230418
194,-1.8381854,-2.9441404
195,-1.6354527,0.73441577
196,-4.610263,-0.113891296
197,-3.4801376,-3.7206337
198,-6.1995955,1.000698
199,-4.5983276,0.17141846
200,-3.5435858,-2.7713442
201,1.745382,0.602713
202,-0.04503052,-0.445687
203,3.7433474,4.117912
204,-0.825177,-0.5999222
205,1.7408618,4.8858166
206,-0.40421635,1.408543
207,0.6949038,4.991818
208,-4.150781,-2.2713995
209,-2.889849,2.6425054
210,-5.215785,-1.3161895
211,-3.3007584,0.5886727
212,-2.9205892,-0.6041418
213,-3.2428894,0.7219417
214,-4.199795,-4.360383
215,-5.214659,1.3790647
216,-5.565212,-0.2668637
217,-4.0742073,-0.03489012
218,-1.4350717,1.906765
219,-0.05375969,3.3121386
220,-0.1595525,2.719802
221,-1.5957526,2.6915207
222,-1.9489816,-1.6871005
223,-2.2512772,-0.18877892
224,0.30203447,1.1966058
225,0.12477814,-1.0661484
226,-2.2870655,-3.5272732
227,0.5018588,3.242379
228,1.5224909,0.2843016
229,1.8753555,-0.61235046
230,2.3160727,3.966642
231,2.4008393,3.1231937
232,1.4866039,1.7101724
233,2.6937275,3.7657022
234,3.1668885,0.5248953
235,3.979043,-1.2345195
236,4.172963,1.5709459
237,4.4014835,-3.8723016
238,5.6565266,-0.1615538
239,6.0687785,-0.8503589
240,6.259226,0.6366243
241,2.585633,1.1513221
242,1.4124838,2.3846273
243,-2.2998142,3.072594
244,-2.3989325,3.6486182
245,-3.8843865,1.4564362
246,-4.2484655,2.9728663
247,-4.737796,-0.9891257
248,-3.77289,-0.89897275
249,-2.0342743,-0.22444588
250,-2.0579205,-0.5744341
251,-0.4318786,-1.1806808
252,-1.8572491,2.6340027
253,-2.7191086,0.058301676
254,-0.16059475,-1.1156784
255,-2.769214,-2.196523
256,-2.5616236,1.7847401
257,-1.9465442,-3.6427076
258,-2.5485084,2.0895092
259,-2.0822058,1.354549
